PSGC,REGION,PROVINCE_FIRE_DISTRICT,CONGRESSIONAL_DISTRICT,CITY_MUNICIPALITY,YEAR,INCIDENTS,INJURIES,DEATHS,ESTIMATED_DAMAGES
112323000,11,DAVAO DEL NORTE,2ND,BRAULIO E. DUJALI,2016,1,0,0,0.0
112303000,11,DAVAO DEL NORTE,2ND,CARMEN,2012,11,0,0,2002000.0
112303000,11,DAVAO DEL NORTE,2ND,CARMEN,2013,17,0,0,4264500.0
112303000,11,DAVAO DEL NORTE,2ND,CARMEN,2014,13,0,0,56435000.0
112303000,11,DAVAO DEL NORTE,2ND,CARMEN,2015,9,1,0,2641000.0
112303000,11,DAVAO DEL NORTE,2ND,CARMEN,2016,16,0,0,5556000.0
112305000,11,DAVAO DEL NORTE,1ST,KAPALONG,2012,6,0,0,1180000.0
112305000,11,DAVAO DEL NORTE,1ST,KAPALONG,2013,9,2,0,392500.0
112305000,11,DAVAO DEL NORTE,1ST,KAPALONG,2014,28,0,0,1059000.0
112305000,11,DAVAO DEL NORTE,1ST,KAPALONG,2015,20,1,0,18516000.0
112305000,11,DAVAO DEL NORTE,1ST,KAPALONG,2016,49,1,0,1731500.0
112314000,11,DAVAO DEL NORTE,1ST,NEW CORELLA,2012,6,1,1,555000.0
112314000,11,DAVAO DEL NORTE,1ST,NEW CORELLA,2013,2,0,0,5000.0
112314000,11,DAVAO DEL NORTE,1ST,NEW CORELLA,2014,3,0,0,1040000.0
112314000,11,DAVAO DEL NORTE,1ST,NEW CORELLA,2015,18,0,0,951000.0
112314000,11,DAVAO DEL NORTE,1ST,NEW CORELLA,2016,8,0,0,825000.0
112315000,11,DAVAO DEL NORTE,2ND,PANABO CITY,2012,15,2,0,8784620.0
112315000,11,DAVAO DEL NORTE,2ND,PANABO CITY,2013,37,1,1,15860000.0
112315000,11,DAVAO DEL NORTE,2ND,PANABO CITY,2014,24,1,0,1566900.0
112315000,11,DAVAO DEL NORTE,2ND,PANABO CITY,2015,19,0,0,5283000.0
112315000,11,DAVAO DEL NORTE,2ND,PANABO CITY,2016,35,1,0,8031600.0
112317000,11,DAVAO DEL NORTE,2ND,SAMAL ISLAND GARDEN CITY,2012,22,5,0,6003000.0
112317000,11,DAVAO DEL NORTE,2ND,SAMAL ISLAND GARDEN CITY,2013,28,1,0,2736000.0
112317000,11,DAVAO DEL NORTE,2ND,SAMAL ISLAND GARDEN CITY,2014,24,0,0,3941905.0
112317000,11,DAVAO DEL NORTE,2ND,SAMAL ISLAND GARDEN CITY,2015,40,1,1,5286500.0
112317000,11,DAVAO DEL NORTE,2ND,SAMAL ISLAND GARDEN CITY,2016,54,1,0,15151000.0
112324000,11,DAVAO DEL NORTE,1ST,SAN ISIDRO,2012,0,0,0,0.0
112324000,11,DAVAO DEL NORTE,1ST,SAN ISIDRO,2013,0,0,0,0.0
112324000,11,DAVAO DEL NORTE,1ST,SAN ISIDRO,2014,1,0,0,0.0
112324000,11,DAVAO DEL NORTE,1ST,SAN ISIDRO,2015,0,0,0,0.0
112324000,11,DAVAO DEL NORTE,1ST,SAN ISIDRO,2016,9,0,0,226000.0
112318000,11,DAVAO DEL NORTE,2ND,SANTO TOMAS,2012,11,2,0,865050.0
112318000,11,DAVAO DEL NORTE,2ND,SANTO TOMAS,2013,12,0,0,1202000.0
112318000,11,DAVAO DEL NORTE,2ND,SANTO TOMAS,2014,11,1,0,4123000.0
112318000,11,DAVAO DEL NORTE,2ND,SANTO TOMAS,2015,19,1,1,690000.0
112318000,11,DAVAO DEL NORTE,2ND,SANTO TOMAS,2016,11,0,0,2780000.0
112319000,11,DAVAO DEL NORTE,1ST,TAGUM CITY (CAPITAL),2012,25,0,1,74525000.0
112319000,11,DAVAO DEL NORTE,1ST,TAGUM CITY (CAPITAL),2013,21,0,0,20307954.0
112319000,11,DAVAO DEL NORTE,1ST,TAGUM CITY (CAPITAL),2014,23,2,0,32970000.0
112319000,11,DAVAO DEL NORTE,1ST,TAGUM CITY (CAPITAL),2015,57,3,1,31880000.0
112319000,11,DAVAO DEL NORTE,1ST,TAGUM CITY (CAPITAL),2016,69,2,1,83323281.05
112322000,11,DAVAO DEL NORTE,1ST,TALAINGOD,2012,6,1,0,88000.0
112322000,11,DAVAO DEL NORTE,1ST,TALAINGOD,2013,7,0,0,490000.0
112322000,11,DAVAO DEL NORTE,1ST,TALAINGOD,2014,0,0,0,0.0
112322000,11,DAVAO DEL NORTE,1ST,TALAINGOD,2015,8,0,0,7860000.0
112322000,11,DAVAO DEL NORTE,1ST,TALAINGOD,2016,11,0,0,1136350.0
112401000,11,DAVAO DEL SUR,1ST,BANSALAN,2012,4,0,0,217000.0
112401000,11,DAVAO DEL SUR,1ST,BANSALAN,2013,10,0,0,948500.0
112401000,11,DAVAO DEL SUR,1ST,BANSALAN,2014,8,0,0,302000.0
112401000,11,DAVAO DEL SUR,1ST,BANSALAN,2015,5,0,0,1435000.0
112401000,11,DAVAO DEL SUR,1ST,BANSALAN,2016,17,0,0,1122400.0
112402000,11,DAVAO DEL SUR,LONE,DAVAO CITY,2014,26,0,0,22682100.0
112403000,11,DAVAO DEL SUR,1ST,DIGOS CITY (CAPITAL),2012,30,2,1,21106150.0
112403000,11,DAVAO DEL SUR,1ST,DIGOS CITY (CAPITAL),2013,46,0,1,4990500.0
112403000,11,DAVAO DEL SUR,1ST,DIGOS CITY (CAPITAL),2014,0,0,0,0.0
112403000,11,DAVAO DEL SUR,1ST,DIGOS CITY (CAPITAL),2015,32,0,0,2890000.0
112403000,11,DAVAO DEL SUR,1ST,DIGOS CITY (CAPITAL),2016,50,0,0,36789700.0
112404000,11,DAVAO DEL SUR,1ST,HAGONOY,2012,4,0,0,503000.0
112404000,11,DAVAO DEL SUR,1ST,HAGONOY,2013,9,0,0,1465000.0
112404000,11,DAVAO DEL SUR,1ST,HAGONOY,2014,17,0,0,3562000.0
112404000,11,DAVAO DEL SUR,1ST,HAGONOY,2015,22,0,0,3553000.0
112404000,11,DAVAO DEL SUR,1ST,HAGONOY,2016,46,0,0,4167000.0
112406000,11,DAVAO DEL SUR,2ND,KIBLAWAN,2012,0,0,0,0.0
112406000,11,DAVAO DEL SUR,2ND,KIBLAWAN,2013,0,0,0,0.0
112406000,11,DAVAO DEL SUR,2ND,KIBLAWAN,2014,13,0,0,51269000.0
112406000,11,DAVAO DEL SUR,2ND,KIBLAWAN,2015,24,0,0,11952500.0
112406000,11,DAVAO DEL SUR,2ND,KIBLAWAN,2016,31,0,0,1754500.0
112407000,11,DAVAO DEL SUR,1ST,MAGSAYSAY,2012,3,0,0,225000.0
112407000,11,DAVAO DEL SUR,1ST,MAGSAYSAY,2013,6,0,0,137500.0
112407000,11,DAVAO DEL SUR,1ST,MAGSAYSAY,2014,6,0,0,138000.0
112407000,11,DAVAO DEL SUR,1ST,MAGSAYSAY,2015,9,0,0,2136500.0
112407000,11,DAVAO DEL SUR,1ST,MAGSAYSAY,2016,24,2,0,1407000.0
112408000,11,DAVAO DEL SUR,2ND,MALALAG,2012,0,0,0,0.0
112408000,11,DAVAO DEL SUR,2ND,MALALAG,2013,0,0,0,0.0
112408000,11,DAVAO DEL SUR,2ND,MALALAG,2014,0,0,0,0.0
112408000,11,DAVAO DEL SUR,2ND,MALALAG,2015,0,0,0,0.0
112408000,11,DAVAO DEL SUR,2ND,MALALAG,2016,7,0,0,468000.0
